id,education,marital_status,income,age,kidhome,teenhome,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,complain,response,revenue,customer_since_in_days
9805,Master,Together,56129.0,68,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0.0,3067
13,PhD,Widow,25358.0,74,0,1,57,19,0,5,0,0,8,2,1,0,3,6,0,0,0.0,3035
5555,Graduation,Divorced,153924.0,46,0,0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,2835
20,2n Cycle,Married,46891.0,56,0,1,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0.0,2994
771,Graduation,Together,54178.0,54,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0.0,2852
75,2n Cycle,Together,41039.0,39,0,0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0.0,3032
10339,Master,Together,,67,0,1,83,161,0,22,0,0,24,2,4,1,4,6,0,0,0.0,3064
199,Master,Single,45183.0,59,0,0,33,219,3,60,12,9,12,1,4,1,7,7,0,0,0.0,3218
5029,Graduation,Married,18100.0,75,0,0,14,3,1,2,4,3,1,1,0,0,3,5,0,0,0.0,3020
7284,Graduation,Married,48686.0,68,1,2,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0.0,2900
7106,PhD,Married,75865.0,78,0,0,73,483,0,591,156,0,12,1,3,5,10,1,0,0,0.0,2783
10573,Graduation,Divorced,62551.0,68,0,0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,0.0,2916
2008,Graduation,Married,77583.0,43,0,0,93,372,23,384,250,12,108,1,4,5,9,2,0,0,0.0,2832
5961,Graduation,Married,42693.0,43,1,0,29,8,4,20,6,3,16,1,1,0,3,5,0,0,0.0,2715
3076,Graduation,Together,66653.0,46,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0.0,3353
1446,Master,Single,86424.0,65,0,0,12,387,68,569,89,45,68,1,6,9,12,1,0,0,0.0,2778
3834,Graduation,Single,69627.0,59,0,1,35,231,161,215,171,30,53,2,8,2,11,5,0,0,0.0,3162
7798,2n Cycle,Together,46344.0,49,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0.0,3255
1570,PhD,Together,69702.0,70,0,1,8,664,9,240,50,19,57,2,7,7,10,4,0,0,0.0,3188
